event_idx,n,a_n,prev_event_n,gap,prev_gap,branch_type,sigma_hat,x,y,z,n_wedge_area,n_wedge_signed,n_wedge_l1,n_cross0,n_cross1,n_cross2,a_n_wedge_area,a_n_wedge_signed,a_n_wedge_l1,a_n_cross0,a_n_cross1,a_n_cross2,gap_wedge_area,gap_wedge_signed,gap_wedge_l1,gap_cross0,gap_cross1,gap_cross2,demand_coord,n_signed_roll16,n_area_roll16,a_n_signed_roll16,a_n_area_roll16,gap_signed_roll16,gap_area_roll16
8728,6399046,5121085,6399045,1,2727,0,-1,0.693147,-7.910957,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,3.7416573867739413,-2.0,6.0,-3.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.75,1.8864813659029611,-2.6875,4.96338741397099,-1.1875,1.420552504056113
8729,6414998,17943105,6399046,15952,1,1,1,9.677402,9.677339,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,4.58257569495584,-3.0,7.0,-4.0,-1.0,2.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1,-0.8125,1.5954279753096876,-2.4375,4.653586394020138,-1.1875,1.4205525040561133
8730,6414999,24358104,6414998,1,15952,1,1,0.693147,-9.677339,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.75,1.3784194781222139,-2.3125,4.50049328509619,-1.1875,1.4205525040561133
8731,6420317,11520129,6414999,5318,1,0,-1,8.579041,8.578853,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04987562112089,-5.0,17.0,-7.0,6.0,-4.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,1,-0.6875,1.1909194781222139,-2.5,4.894756924742874,-1.0,1.2225298707696919
8732,6420318,5099811,6420317,1,5318,0,-1,0.693147,-8.578853,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,1.1909194781222139,-2.6875,4.937467875345662,-1.0,1.2225298707696917
8733,6425366,17948019,6420318,5048,1,1,1,8.526945,8.526747,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.5625,0.9670084971874737,-2.75,4.901056894410922,-0.9375,1.1600298707696917
8734,6425367,24373386,6425366,1,5048,1,1,0.693147,-8.526747,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,0.9045084971874737,-2.75,4.677145913476181,-1.0,1.1341415231213734
8735,6427051,11520126,6425367,1684,1,0,-1,7.429521,7.428927,-1.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,10.04987562112089,-5.0,17.0,-7.0,6.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.375,0.8678968448357922,-2.8125,4.872250437904018,-1.0,1.1341415231213734
8736,6427052,5093074,6427051,1,1684,0,-1,0.693147,-7.428927,-1.0,4.47213595499958,-2.0,6.0,2.0,0.0,-4.0,2.0,-2.0,2.0,0.0,-2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.375,1.022405342023266,-2.875,4.809750437904018,-1.0,1.1341415231213734
8737,6427198,17947397,6427052,146,1,1,1,4.990433,4.983607,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.4375,1.1306585174963206,-2.4375,4.177353623385412,-1.0625,1.1966415231213734
8738,6427199,24374596,6427198,1,146,1,1,0.693147,-4.983607,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2389116929693755,-2.5,4.151465275737093,-1.0625,1.1966415231213734
8739,6427200,30801796,6427199,1,1,1,1,0.693147,0.0,1.0,5.656854249492381,0.0,8.0,4.0,0.0,-4.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.5924650835626493,-2.5625,4.117058384661042,-1.0625,1.1966415231213734
8740,6427348,17947174,6427200,148,1,0,-1,5.003946,4.997212,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.5625,1.6549650835626493,-2.625,4.080647403726301,-1.0625,1.1966415231213734
8741,6427349,11519825,6427348,1,148,0,-1,0.693147,-4.997212,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,9.539392014169456,-7.0,13.0,-9.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,1.5777108349689124,-3.0625,4.5884710569635745,-1.0625,1.1966415231213734
8742,6427350,5092475,6427349,1,1,0,-1,0.693147,0.0,-1.0,1.7320508075688772,-1.0,3.0,1.0,-1.0,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.8125,1.5462097618482304,-3.0625,4.676859404611893,-1.0625,1.1966415231213734
8743,6442612,17970068,6427350,15262,1,1,1,9.633187,9.633121,1.0,4.58257569495584,-3.0,7.0,-1.0,2.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,4.58257569495584,-3.0,7.0,-1.0,2.0,-4.0,1,-0.9375,1.7701207427829704,-2.5625,3.7650808253543993,-1.0,1.2330525040561133
8744,6442613,24412681,6442612,1,15262,1,1,0.693147,-9.633121,1.0,1.4142135623730951,0.0,2.0,-1.0,1.0,0.0,6.928203230275509,-4.0,12.0,-4.0,4.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.875,1.7960090904312889,-2.6875,3.964239940573247,-1.0,1.2330525040561133
8745,6447701,11519823,6442613,5088,1,0,-1,8.534837,8.53464,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,9.695359714832659,-4.0,14.0,-9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.875,1.7960090904312889,-2.75,4.283788941815548,-0.9375,1.1247993285830584
8746,6447702,5072121,6447701,1,5088,0,-1,0.693147,-8.53464,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,6.0,-2.0,10.0,-2.0,4.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.8125,1.8218974380796074,-2.875,4.658788941815548,-0.9375,1.1247993285830584
8747,6450462,17971665,6447702,2760,1,1,1,7.923348,7.922986,1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.8125,1.9102857857279256,-2.8125,4.280671715495492,-0.9375,1.1247993285830584
8748,6450463,24422128,6450462,1,2760,1,1,0.693147,-7.922986,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,16.522711641858304,-13.0,21.0,-1.0,4.0,-16.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.875,1.9727857857279256,-3.375,5.063341193111636,-0.9375,1.1247993285830584
8749,6451383,11519822,6450463,920,1,0,-1,6.82546,6.824374,-1.0,2.23606797749979,1.0,3.0,-1.0,0.0,2.0,11.532562594670797,-7.0,19.0,-9.0,6.0,-4.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.75,2.0500400343216625,-3.5625,5.534126355278561,-0.9375,1.213187676231377
8750,6451384,5068438,6451383,1,920,0,-1,0.693147,-6.824374,-1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,2.075928381969981,-3.5625,5.534126355278561,-0.9375,1.213187676231377
8751,6460354,17984661,6451384,8970,1,1,1,9.101752,9.101641,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,4.0,-4.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.75,2.0500400343216625,-3.5,5.156009128958505,-0.875,1.150687676231377
8752,6460355,24445016,6460354,1,8970,1,1,0.693147,-9.101641,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.6875,1.8330315371341888,-3.375,5.119397476606824,-0.875,1.150687676231377
8753,6463345,11519821,6460355,2990,1,0,-1,8.003363,8.003029,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.522711641858304,-13.0,21.0,-16.0,4.0,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1,-0.625,1.724778361661134,-4.1875,6.0636786065746495,-0.8125,1.1765760238796952
8754,6463346,5056475,6463345,1,2990,0,-1,0.693147,-8.003029,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5625,1.6165251861880792,-4.125,6.0011786065746495,-0.8125,1.1765760238796952
8755,6463448,17983320,6463346,102,1,1,1,4.634729,4.624973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,2.0,0.0,-1.0,1.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,1,-0.5625,1.2629717955948054,-4.0,5.93647384529902,-0.75,1.2024643715280137
8756,6463449,24446769,6463448,1,102,1,1,0.693147,-4.624973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2004717955948054,-3.8125,5.74897384529902,-0.75,1.2024643715280137
8757,6463450,30910219,6463449,1,1,1,1,0.693147,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,2.23606797749979,-1.0,3.0,-2.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.2004717955948054,-3.4375,5.2925160930071655,-0.75,1.2024643715280137
8758,6463554,17983163,6463450,104,1,0,-1,4.65396,4.644391,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.656854249492381,0.0,8.0,-4.0,0.0,4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.4375,1.0922186201217505,-3.4375,5.557681135952121,-0.75,1.2024643715280137
8759,6463555,11519608,6463554,1,104,0,-1,0.693147,-4.644391,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.8058076391870107,-3.9375,6.057681135952121,-0.625,0.9785533905932737
8760,6463556,5056052,6463555,1,1,0,-1,0.693147,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,1.0,3.0,2.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.7174192915386922,-3.625,5.764422682653638,-0.625,0.9785533905932737
8761,6465480,17986050,6463556,1924,1,1,1,7.562681,7.562162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1,-0.1875,0.6549192915386922,-3.4375,5.220962700476598,-0.6875,1.0868065660663286
8762,6465481,24451531,6465480,1,1924,1,1,0.693147,-7.562162,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.6290309438903738,-3.375,5.132373681411337,-0.6875,1.0868065660663286
8763,6466123,11519606,6465481,642,1,0,-1,6.466145,6.464588,-1.0,1.4142135623730951,0.0,2.0,-1.0,1.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-0.25,0.6290309438903737,-3.6875,5.444873681411337,-0.75,1.0609182184180102
8764,6466124,5053482,6466123,1,642,0,-1,0.693147,-6.464588,-1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.7320508075688772,-1.0,3.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.6747841193634285,-2.9375,4.520457379268248,-0.75,1.0609182184180102
8765,6468240,17988904,6466124,2116,1,1,1,7.657755,7.657283,1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,4.58257569495584,-3.0,7.0,-4.0,2.0,-1.0,1,-0.3125,0.6234182184180102,-2.5625,3.8621722171013233,-0.9375,1.2589408517044318
8766,6468241,24457145,6468240,1,2116,1,1,0.693147,-7.657283,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.375,0.6432830462427465,-2.5625,3.907925392574378,-0.9375,1.2589408517044318
8767,6468947,11519604,6468241,706,1,0,-1,6.561031,6.559615,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3125,0.5807830462427465,-2.875,4.220425392574378,-0.9375,1.2589408517044318
8768,6468948,5050656,6468947,1,706,0,-1,0.693147,-6.559615,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.25,0.5182830462427465,-2.875,4.13203704492606,-0.9375,1.2589408517044318
8769,6474902,17997483,6468948,5954,1,1,1,8.691986,8.691819,1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.25,0.606671393891065,-2.0625,3.1877559149582337,-0.9375,1.170552504056113
8770,6474903,24472386,6474902,1,5954,1,1,0.693147,-8.691819,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,4.0,-4.0,4.0,0.0,0.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.3125,0.669171393891065,-2.3125,3.4377559149582337,-0.9375,1.170552504056113
8771,6476889,11519601,6474903,1986,1,0,-1,7.594381,7.593878,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-16.0,16.0,-16.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.3125,0.669171393891065,-3.3125,4.3493675673099155,-1.0,1.1446641564077948
8772,6476890,5042711,6476889,1,1986,0,-1,0.693147,-7.593878,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7416573867739413,-2.0,6.0,-3.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.3125,0.669171393891065,-3.375,4.520721153983287,-1.0,1.1446641564077948
8773,6481562,18003499,6476890,4672,1,1,1,8.449557,8.449343,1.0,1.7320508075688772,-1.0,3.0,-1.0,1.0,-1.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-0.3125,0.7149245693641197,-3.4375,4.534060014313499,-1.0,1.1446641564077948
8774,6481563,24485062,6481562,1,4672,1,1,0.693147,-8.449343,1.0,1.4142135623730951,0.0,2.0,-1.0,0.0,1.0,4.47213595499958,-2.0,6.0,2.0,0.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.3125,0.8033129170124382,-3.5625,4.460015120907698,-1.0,1.1446641564077948
8775,6483121,11519599,6481563,1558,1,0,-1,7.3518,7.351158,-1.0,4.58257569495584,-1.0,7.0,-4.0,2.0,1.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.375,1.0897238979471782,-3.5625,4.460015120907698,-1.0,1.1446641564077948
8776,6483122,5036477,6483121,1,1558,0,-1,0.693147,-7.351158,-1.0,3.7416573867739413,-2.0,6.0,-1.0,2.0,-3.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.3235774846205495,-3.6875,4.382760872313961,-1.0,1.1446641564077948
8777,6485690,18006573,6483122,2568,1,1,1,7.851272,7.850883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-0.5,1.3235774846205495,-3.75,4.47335398123791,-1.0,1.0989109809347402
8778,6485691,24492264,6485690,1,2568,1,1,0.693147,-7.850883,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,9.0,-9.0,9.0,0.0,0.0,-9.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.5,1.3235774846205495,-4.25,4.74944300030317,-1.0,1.0989109809347402
8779,6486547,11519598,6485691,856,1,0,-1,6.753438,6.75227,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.5,1.235189136972231,-4.25,4.74944300030317,-0.9375,1.0364109809347402
8780,6486548,5033050,6486547,1,856,0,-1,0.693147,-6.75227,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,6.0,0.0,-6.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.4375,1.1269359614991763,-4.5625,5.016189824830116,-0.9375,1.03641098093474
8781,6495578,18019691,6486548,9030,1,1,1,9.108418,9.108308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,2.0,-2.0,2.0,0.0,-2.0,0.0,1,-0.4375,1.0385476138508578,-5.0625,5.516189824830116,-0.875,0.875
8782,6495579,24515270,6495578,1,9030,1,1,0.693147,-9.108308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58257569495584,-1.0,7.0,1.0,2.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.375,0.9302944383778031,-5.0625,5.694347630291801,-0.875,0.875
8783,6498589,11519597,6495579,3010,1,0,-1,8.010028,8.009695,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,9.0,-9.0,0.0,0.0,2.449489742783178,-2.0,4.0,-1.0,-2.0,1.0,1,-0.375,0.9302944383778031,-5.0625,5.694347630291801,-1.0,1.0280931089239487
8784,6498590,5021007,6498589,1,3010,0,-1,0.693147,-8.009695,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,2.0,4.0,2.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.375,0.9302944383778031,-4.9375,5.84744073921575,-1.0,1.0280931089239487
8785,6529966,18065251,6498590,31376,1,1,1,10.35383,10.353799,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,3.7416573867739413,-2.0,6.0,-3.0,2.0,-1.0,2.23606797749979,1.0,3.0,-1.0,0.0,2.0,1,-0.4375,0.9044060907294846,-5.0625,5.9929059782408025,-0.9375,1.1678473575176855
8786,6529967,24595218,6529966,1,31376,1,1,0.693147,-10.353799,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,4.58257569495584,-3.0,7.0,-1.0,2.0,-4.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.4375,0.9044060907294846,-5.0,6.029316959175542,-0.9375,1.1678473575176855
8787,6540427,11519594,6529967,10460,1,0,-1,9.255409,9.255314,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,9.0,-9.0,9.0,-9.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.4375,0.992794438377803,-4.5625,5.591816959175542,-0.9375,1.1678473575176855
8788,6540428,4979166,6540427,1,10460,0,-1,0.693147,-9.255314,-1.0,1.4142135623730951,0.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.4375,1.0811827860261216,-4.5,5.42046337250217,-0.9375,1.1678473575176855
8789,6555386,18082459,6540428,14958,1,1,1,9.613068,9.613002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,2.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1,-0.375,0.9729296105530667,-4.375,5.35575861122654,-0.9375,1.1678473575176855
8790,6555387,24637846,6555386,1,14958,1,1,0.693147,-9.613002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0,-0.375,0.8845412629047482,-4.3125,5.138750114039066,-0.9375,1.1678473575176855
8791,6560373,11519593,6555387,4986,1,0,-1,8.51459,8.514389,-1.0,2.0,-2.0,2.0,0.0,-2.0,0.0,9.486832980505138,-6.0,12.0,-9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.4375,0.7231302819700083,-4.125,5.1691771753206375,-0.875,1.1053473575176855
8792,6561016,4958256,6560373,643,4986,0,-1,6.467699,-2.048245,-1.0,4.0,-4.0,4.0,-4.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.5625,0.7392766952966369,-4.125,5.1691771753206375,-0.8125,1.0428473575176855
